abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,,,Health Information Security and Privacy Collaborative (HISPC),Montpelier,,290-05-0015-RTI-021,,,Vermont,Vermont Information Technology Leaders,"Farnum, Greg",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-vt,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Vermont (Vermont)
,,,Health Information Security and Privacy Collaborative (HISPC),Chicago,,290-05-0015,,"$ 24,314,149",Illinois,RTI International,"Dimitropoulos, Linda",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange (Illinois)
,Care Coordination,Ambulatory;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Knoxville,Rural,,,"$1,096,491",Tennessee,"University of Tennessee, Knoxville","Lozzio, Carmen",https://healthit.ahrq.gov/ahrq-funded-projects/improving-quality-care-children-special-needs-1,Closed,Children with Special Health Care Needs (CSHCN);Pediatric,Computerized Provider Order Entry (CPOE);Electronic Medication Administration,Improving Quality Care for Children with Special Needs (Tennessee)
,,,,,,,,"$400,000",Florida,Florida Institute of Technology,"Becker, Annie",https://healthit.ahrq.gov/ahrq-funded-projects/buddy-technology,Closed,,,Buddy Technology (Florida)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Pharmacy,E-Prescribing Pilot Projects,Boston,Non-rural,,,"$1,000,000.00",Massachusetts,Brigham and Women's Hospital,"Rothschild, Jeffrey",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-prescribing-using-community-utility-eprescribing-gateway,Closed,General,E-Prescribing,Electronic Prescribing Using A Community Utility: The ePrescribing Gateway (Massachusetts)
,Medication Management;Protected Health Information Data Sharing,Pharmacy,E-Prescribing Pilot Projects,Santa Monica,Non-rural;Rural,,,"$1,850,826",California,RAND Corporation,"Bell, Douglas",https://healthit.ahrq.gov/ahrq-funded-projects/pilot-testing-electronic-prescribing-standards,Closed,General,E-Prescribing,Pilot Testing of Electronic Prescribing Standards (California)
,Medication Management,Long-Term Care;Pharmacy,E-Prescribing Pilot Projects,Eden Prairie,Rural,,,"$1,149,161.00",Minnesota,Achieve Healthcare Information Technology,"Bordelon, Michael",https://healthit.ahrq.gov/ahrq-funded-projects/long-term-care-e-prescribing-standards-pilot-study,Closed,Elderly,E-Prescribing,Long Term Care E-Prescribing Standards Pilot Study (Minnesota)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Pharmacy,E-Prescribing Pilot Projects,Alexandria,Non-rural;Rural,,,"$1,998,370",Virginia,"SureScripts, LLC","Lapane, Kate",https://healthit.ahrq.gov/ahrq-funded-projects/maximizing-effectiveness-e-prescribing-between-physicians-and-community,Closed,General,E-Prescribing,Maximizing Effectiveness of E-Prescribing Between Physicians and Community Pharmacies (Virginia)
,Medication Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,E-Prescribing Pilot Projects,Cleveland,Rural;Non-rural,,,,Ohio,University Hospitals of Cleveland,"Barich, Donald P.",https://healthit.ahrq.gov/ahrq-funded-projects/centers-medicare-medicaid-services-special-study-%E2%80%93-pilot-testing-electronic,Closed,General,E-Prescribing,Centers for Medicare & Medicaid Services Special Study – Pilot Testing of Electronic Prescribing Standards (Ohio)
,Protected Health Information Data Sharing,Ambulatory;Behavioral Health;Emergency Department (ED)/Emergency Room (ER);Inpatient;Laboratory;Long-Term Care;Pharmacy,Health Information Technology Community Tracking,Washington,Non-rural;Rural,290-05-0007-2,,"$174,278",District of Columbia,Center for Studying Health System Change,"Grossman, Joy",https://healthit.ahrq.gov/ahrq-funded-projects/health-care-stakeholder-participation-health-information-exchanges,Closed,Adults;Elderly;Men;Pediatric;Women,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Health Care Stakeholder Participation in Health Information Exchanges (District of Columbia)
,Medication Management;Prevention;Primary Care,,Inter-Agency Agreement,New Haven,,"07-587F-07, 08-587F-07, 09-587F-07, 10-587F-07",,"$520,646",Connecticut,Yale University,"Shiffman, Richard N.",https://healthit.ahrq.gov/ahrq-funded-projects/improving-guideline-development-and-implementation,Closed,General,Clinical Decision Support (CDS) System,Improving Guideline Development and Implementation (Connecticut)
,Care Coordination;Chronic Disease Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,AHRQ Health Services Research Projects (R01),Seattle,Non-rural;Rural,,,"$1,116,341",Washington,Group Health Cooperative,"Ralston, James D.",https://healthit.ahrq.gov/ahrq-funded-projects/shared-medical-records-and-chronic-illness-care,Closed,Adults;Chronic Care;Diabetes,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Personal Health Record (PHR),Shared Medical Records and Chronic Illness Care (Washington)
,Chronic Disease Management,,Evidence-based Practice Centers (EPCs),Portland,Non-rural;Rural,290-02-0024-9,,"$299,411",Oregon,Oregon Health and Science University,"Jimison, Holly B.",https://healthit.ahrq.gov/ahrq-funded-projects/barriers-and-drivers-health-information-technology-use-elderly-chronically-ill,Closed,Adults;Cancer;Chronic Care;Chronic Obstructive Pulmonary Disease (COPD);Congestive Heart Failure (CHF);Diabetes;Elderly;Low-SES/Low Income;Medically Underserved;Mental Health/Depression;Persons with Disabilities;Racial/Ethnic Minorities,Consumer Informatics,"Barriers and Drivers of Health Information Technology Use for the Elderly, Chronically Ill and Underserved (Oregon)"
,Chronic Disease Management;Medication Management;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Ambulatory Safety and Quality Program: Improving Quality through Clinician Use of Health IT (R18),Sioux Falls,Rural,,,"$1,023,630",South Dakota,Avera Health,"Veline, James",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-prescribing-and-decision-support-improve-rural-primary-care-quality,Closed,Adults;Chronic Care;Elderly;Hypertension,Clinical Decision Support (CDS) System;E-Prescribing,Electronic Prescribing and Decision Support to Improve Rural Primary Care Quality (South Dakota)
,Medication Management;Patient Education;Quality Measurement/Quality Improvement,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient,Centers for Education and Research on Therapeutics (CERTs) Program (U18),Boston,Non-rural;Rural,,,"$3,999,072",Massachusetts,Brigham and Women's Hospital,"Bates, David",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-and-improving-medication-use,Closed,General,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);E-Prescribing;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Interactive Voice Response (IVR)/Telephony;Medication Reconciliation,Health Information Technology and Improving Medication Use (Massachusetts)
,Chronic Disease Management;Medication Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Ambulatory Safety and Quality Program: Enabling Quality Measurement through Health IT (R18),Oakland,Non-rural,,,"$907,822",California,Kaiser Foundation Research Institute,"Selby, Joe",https://healthit.ahrq.gov/ahrq-funded-projects/feedback-treatment-intensification-data-reduce-cardiovascular-disease-risk,Closed,Adults;Chronic Care;Coronary Artery Disease;Diabetes,Clinical Decision Support (CDS) System,Feedback of Treatment Intensification Data to Reduce Cardiovascular Disease Risk (California)
,Primary Care;Specialty Care,Ambulatory,Accelerating Change and Transformation in Organizations and Networks (ACTION),Santa Monica,Non-rural;Rural,290-06-0017-3,,"$396,536",California,RAND Corporation,"Bell, Douglas",https://healthit.ahrq.gov/ahrq-funded-projects/use-electronic-referral-system-improve-outpatient-primary-care-specialty-care,Closed,General,Computerized Provider Order Entry (CPOE),Use of Electronic Referral System to Improve the Outpatient Primary Care-Specialty Care Interface (California)
,Chronic Disease Management;Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center,Accelerating Change and Transformation in Organizations and Networks (ACTION),Denver,Non-rural,290-06-0020-6,,"$357,543",Colorado,Denver Health,"Fischer, Henry",https://healthit.ahrq.gov/ahrq-funded-projects/assessing-impact-dynamic-chronic-care-registry-quality-care,Closed,Chronic Care;Diabetes,Disease Registries,Assessing the Impact of a Dynamic Chronic Care Registry on Quality of Care (Colorado)
,Chronic Disease Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Accelerating Change and Transformation in Organizations and Networks (ACTION),Denver,Non-rural,290-06-0020-5,,"$497,134",Colorado,Denver Health,"Brottman, Gail",https://healthit.ahrq.gov/ahrq-funded-projects/improving-asthma-care-integrated-safety-net-through-commercially-available,Closed,Asthma;Chronic Care;Congestive Heart Failure (CHF);Safety Net,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Improving Asthma Care in an Integrated Safety Net through a Commercially Available Electronic Medical Record (Colorado)
,Chronic Disease Management;Medication Management;Patient Education,Ambulatory;Family Medicine;Internal Medicine;Outpatient Clinic;Primary Care;Specialty Practice,Ambulatory Safety and Quality: Enabling Patient-Centered Care through Health IT (R18),Palo Alto,Non-rural,,,"$1,158,401",California,Palo Alto Medical Foundation,"Tang, Paul",https://healthit.ahrq.gov/ahrq-funded-projects/patient-centered-online-disease-management-using-personal-health-record-system,Closed,Adults;Chronic Care;Diabetes,Clinical Decision Support (CDS) System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Home/Remote Monitoring;Personal Health Record (PHR);Secure Messaging,Patient-Centered Online Disease Management Using a Personal Health Record System (California)
,Chronic Disease Management;Medication Management;Patient Education,Ambulatory;Community Health Center;Family Medicine;Home;Internal Medicine;Outpatient Clinic;Primary Care;Veteran Affairs Medical Center,Ambulatory Safety and Quality: Enabling Patient-Centered Care through Health IT (R18),Milwaukee,Non-rural,,,"$1,208,755",Wisconsin,Medical College of Wisconsin,"Burns, Edith",https://healthit.ahrq.gov/ahrq-funded-projects/enhancing-self-management-t2dm-automated-reminder-and-feedback-system,Closed,Adults;Chronic Care;Diabetes;Elderly;Low-SES/Low Income;Medically Underserved;Racial/Ethnic Minorities;Veterans,Home/Remote Monitoring,Enhancing self-management of T2DM with an Automated Reminder and Feedback System (Wisconsin)
,Chronic Disease Management;Patient Education;Primary Care,Ambulatory;Family Medicine;Home;Internal Medicine;Primary Care,Ambulatory Safety and Quality: Enabling Patient-Centered Care through Health IT (R18),San Francisco,Non-rural,,,"$1,130,769",California,"University of California, San Francisco","Schillinger, Dean",https://healthit.ahrq.gov/ahrq-funded-projects/harnessing-health-information-technology-self-management-support-and-medication,Closed,Adults;Diabetes;Elderly;Low Literacy;Low-SES/Low Income;Medicaid;Medically Underserved;Medicare;Racial/Ethnic Minorities;Racial/Ethnic Minorities: Hispanic Latino;Racial/Ethnic Minorities: Asian Cantonese-Speaking;Safety Net;Uninsured,Interactive Voice Response (IVR)/Telephony;Telehealth Technology,Harnessing Health Information Technology for Self-Management Support and Medication Activation in a Medicaid Health Plan (California)
,Primary Care,Ambulatory;Integrated Care Network,Ambulatory Safety and Quality Program: Improving Quality through Clinician Use of Health IT (R18),Boston,Non-rural,,,"$680,746",Massachusetts,Brigham and Women's Hospital,"Sequist, Thomas D.",https://healthit.ahrq.gov/ahrq-funded-projects/can-risk-score-alerts-improve-office-care-chest-pain,Closed,Adults;Coronary Artery Disease,Clinical Decision Support (CDS) System,Can Risk Score Alerts Improve Office Care for Chest Pain? (Massachusetts)
,Quality Measurement/Quality Improvement,Ambulatory;Inpatient,Department of Health and Human Services Program Support Center (PSC),Cambridge,,"PSC 233-02-00008, TO: 233-07-00008T",,"$710,109",Massachusetts,"Abt Associates, Inc.","Spranca, Mark",https://healthit.ahrq.gov/ahrq-funded-projects/conducting-measurement-activities-health-information-technology-initiative,Closed,General,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR),Conducting Measurement Activities for Health Information Technology Initiative (Massachusetts)
,Patient Education;Prevention;Primary Care,Ambulatory,Ambulatory Safety and Quality: Enabling Patient-Centered Care through Health IT (R18),Richmond,Non-rural,,,"$1,198,677",Virginia,Virginia Commonwealth University,"Krist, Alexander H",https://healthit.ahrq.gov/ahrq-funded-projects/interactive-preventive-health-record-iphr-promote-patient-centered-care,Closed,Adults;Chronic Care,Automated Extraction System/Algorithm;Clinical Decision Support (CDS) System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Secure Messaging,An Interactive Preventive Health Record (IPHR) to Promote Patient-Centered Care (Virginia)
